Rule,Accuracy,#Times_Used,Rule Decision,Rule Length,Rule Piece 1,Rule Piece 2,Rule Piece 3,Rule Piece 4,Rule Piece 5,Rule Piece 6
9,1.0,84,0,6,defenders_in_box <= 2.50,yardline_100 > 34.50,offensive_predictability > 0.02,HOME_day_since_last_game > 6.50,epa <= 1.46,offensive_predictability <= 0.10
0,1.0,80,0,3,defenders_in_box <= 2.50,yardline_100 <= 34.50,DefenseTeam <= 22.50,0,0,0
10,1.0,72,0,6,defenders_in_box <= 2.50,yardline_100 > 34.50,offensive_predictability > 0.02,HOME_day_since_last_game > 6.50,epa <= 1.46,offensive_predictability > 0.10
33,1.0,44,1,6,defenders_in_box > 2.50,game_seconds_remaining > 2387.50,AWAY_day_since_last_game <= 7.50,Temperature > 71.72,game_seconds_remaining > 2791.00,AWAY_day_since_last_game <= 5.00
5,1.0,37,0,3,defenders_in_box <= 2.50,yardline_100 > 34.50,offensive_predictability <= 0.02,0,0,0
18,1.0,24,0,6,defenders_in_box > 2.50,game_seconds_remaining <= 2387.50,epa <= 0.47,run_count > 54.50,game_seconds_remaining > 44.00,epa <= 0.18
16,1.0,23,0,6,defenders_in_box > 2.50,game_seconds_remaining <= 2387.50,epa <= 0.47,run_count <= 54.50,play_type > 7.50,AWAY_day_since_last_game > 12.50
35,1.0,21,0,6,defenders_in_box > 2.50,game_seconds_remaining > 2387.50,AWAY_day_since_last_game > 7.50,Temperature <= 91.24,OffenseTeam <= 6.50,game_seconds_remaining <= 3455.50
1,1.0,20,0,5,defenders_in_box <= 2.50,yardline_100 <= 34.50,DefenseTeam > 22.50,Precipitation <= 0.00,Temperature <= 74.96,0
38,1.0,14,0,6,defenders_in_box > 2.50,game_seconds_remaining > 2387.50,AWAY_day_since_last_game > 7.50,Temperature <= 91.24,OffenseTeam > 6.50,run_count > 14.50
22,1.0,11,0,6,defenders_in_box > 2.50,game_seconds_remaining <= 2387.50,epa > 0.47,DefenseTeam <= 29.50,home_team_on_defense > 76.50,is_close_game <= 0.50
7,1.0,4,0,6,defenders_in_box <= 2.50,yardline_100 > 34.50,offensive_predictability > 0.02,HOME_day_since_last_game <= 6.50,Temperature > 35.40,season_progression <= 0.26
3,1.0,3,0,5,defenders_in_box <= 2.50,yardline_100 <= 34.50,DefenseTeam > 22.50,Precipitation > 0.00,game_seconds_remaining <= 1860.50,0
6,1.0,2,0,5,defenders_in_box <= 2.50,yardline_100 > 34.50,offensive_predictability > 0.02,HOME_day_since_last_game <= 6.50,Temperature <= 35.40,0
12,1.0,1,0,6,defenders_in_box <= 2.50,yardline_100 > 34.50,offensive_predictability > 0.02,HOME_day_since_last_game > 6.50,epa > 1.46,OffenseTeam > 21.50
31,0.911111111,45,1,6,defenders_in_box > 2.50,game_seconds_remaining > 2387.50,AWAY_day_since_last_game <= 7.50,Temperature > 71.72,game_seconds_remaining <= 2791.00,YardsToGo <= 7.50
8,0.787234043,47,1,6,defenders_in_box <= 2.50,yardline_100 > 34.50,offensive_predictability > 0.02,HOME_day_since_last_game <= 6.50,Temperature > 35.40,season_progression > 0.26
