Rule,Accuracy,#Times_Used,Rule Decision
13,0.44138756,836,0
15,0.560416667,480,1
21,0.68869936,469,1
29,0.544186047,215,0
20,0.387596899,129,1
32,0.1125,80,0
37,0.547297297,148,0
24,0.197530864,81,0
34,0.548387097,93,0
28,0,36,1
27,0,25,1
23,0.703125,64,1
14,0,12,1
8,0.787234043,47,1
30,0,8,1
17,0,8,1
39,0,6,1
2,0,6,1
31,0.911111111,45,1
11,0,3,1
36,0,3,1
19,0,3,1
25,0,1,1
12,1,1,0
6,1,2,0
3,1,3,0
7,1,4,0
22,1,11,0
38,1,14,0
1,1,20,0
35,1,21,0
16,1,23,0
18,1,24,0
5,1,37,0
33,1,44,1
10,1,72,0
0,1,80,0
9,1,84,0
