Rule Piece,Condition,Grade,Times Used,Condition Weight,Times Incorrect,Condition Score
Rule Piece 1,defenders_in_box > 2.50,0.4140923291426588,2881,0.3684373070599135,1688,0.15256706262348857
Rule Piece 2,game_seconds_remaining <= 2371.00,0.4455782315257531,2058,0.28319950601605925,1141,0.12618753505960256
Rule Piece 3,epa <= 1.07,0.43857698750416896,1799,0.2436689315997529,1010,0.10686758596937902
Rule Piece 5,offense_formation > 1.00,0.49434229173974537,1414,0.2158739964546016,715,0.10671564613438542
Rule Piece 6,score_differential > -25.50,0.506319703,1345,0.21031500943020381,664,0.10648663311114298
Rule Piece 4,offense_formation <= 8.50,0.4421175104828388,1719,0.23471278583075972,959,0.10377063254998721
Rule Piece 1,defenders_in_box <= 2.50,0.8095238094677871,357,0.0892526250710315,68,0.07225212505250155
Rule Piece 5,surface_type <= 2.50,1.0,168,0.05188387893761581,0,0.05188387893761581
Rule Piece 4,score_differential > -14.50,0.9661016949152542,177,0.052810376775787524,6,0.05102019451220151
Rule Piece 2,yardline_100 > 34.50,0.7442748090839695,262,0.06022235947498456,67,0.04482198510083032
Rule Piece 3,current_defence_rank <= 27.50,0.77083333325,240,0.05713403334774553,55,0.044040817367459344
Rule Piece 6,yardline_100 <= 64.50,1.0,121,0.03736874613959234,0,0.03736874613959234
Rule Piece 2,yardline_100 <= 34.50,0.9894736842105263,95,0.02903026559604694,1,0.028724683852930658
Rule Piece 2,game_seconds_remaining > 2371.00,0.3353584444471446,823,0.08523780104385421,547,0.028585216366162146
Rule Piece 6,OffenseTeam <= 5.50,0.81294964,139,0.03489808522544781,26,0.028370385820717117
Rule Piece 3,Precipitation <= 0.00,1.0,81,0.025015441630636195,0,0.025015441630636195
Rule Piece 4,yardline_100 > 32.50,0.3923541244064386,497,0.06022235942865966,302,0.023628491103321592
Rule Piece 3,OffenseTeam <= 25.50,0.35652173883478255,575,0.0633106855558987,370,0.022571635701211155
Rule Piece 6,home_team_on_defense > 0.50,0.4054669699999999,439,0.054972205012353295,261,0.0222894134005777
Rule Piece 5,stadium > 5.50,0.3877995638997821,459,0.054972205012353295,281,0.021318197130400025
Rule Piece 3,epa > 1.07,0.4942084940540541,259,0.03953057441630637,131,0.01953634565137449
Rule Piece 4,score_differential > -25.50,0.4861660077470356,253,0.03798641135268685,130,0.018467701955972436
Rule Piece 5,yardline_100 > 5.50,0.46694214859504135,242,0.03489808522544781,129,0.016295386897023468
Rule Piece 6,yardline_100 > 64.50,1.0,47,0.014515132798023472,0,0.014515132798023472
Rule Piece 6,offensive_predictability > 0.01,1.0,21,0.006485484867201977,0,0.006485484867201977
Rule Piece 4,epa <= 2.30,0.2886178859756098,246,0.02192711548795553,175,0.006328557717676777
Rule Piece 3,OffenseTeam > 25.50,0.2862903223790323,248,0.02192711548795553,177,0.0062775209618890606
Rule Piece 5,game_seconds_remaining <= 2767.50,0.9545454545454546,22,0.0064854848672019775,1,0.0061906901005109784
Rule Piece 6,score_differential > -1.50,1.0,17,0.005250154416306362,0,0.005250154416306362
Rule Piece 6,run_count > 17.50,0.2,305,0.018838789376158124,244,0.003767757875231625
Rule Piece 5,offense_formation <= 1.00,0.2,305,0.018838789376158124,244,0.003767757875231625
Rule Piece 3,Precipitation > 0.00,0.9285714285714286,14,0.004014823965410748,1,0.003728050825024266
Rule Piece 6,AWAY_day_since_last_game <= 13.50,0.225225225,222,0.015441630620753552,172,0.0034778447309261086
Rule Piece 5,game_seconds_remaining > 2767.50,0.22321428549107145,224,0.015441630620753552,174,0.0034467925458285544
Rule Piece 4,stadium <= 22.50,1.0,11,0.0033971587399629403,0,0.0033971587399629403
Rule Piece 4,offense_formation > 8.50,0.3625,80,0.008956145768993205,51,0.0032466028412600364
Rule Piece 6,Down <= 3.50,1.0,10,0.0030883261272390363,0,0.0030883261272390363
Rule Piece 5,yardline_100 <= 5.50,0.9090909090909091,11,0.0030883261272390363,1,0.0028075692065809422
Rule Piece 6,run_count <= 9.50,1.0,8,0.0024706609017912293,0,0.0024706609017912293
Rule Piece 5,stadium <= 5.50,0.4473684210526316,38,0.005250154416306363,21,0.002348753291505478
Rule Piece 5,current_defence_rank <= 29.50,1.0,6,0.0018529956763434219,0,0.0018529956763434219
Rule Piece 6,score_differential > -13.50,1.0,6,0.0018529956763434219,0,0.0018529956763434219
Rule Piece 4,AWAY_day_since_last_game > 5.50,0.47619047619047616,21,0.0030883261272390363,11,0.0014706314891614457
Rule Piece 6,score_differential <= -25.50,0.260869565,69,0.005558987024397777,51,0.0014501705268952926
Rule Piece 3,current_defence_rank > 27.50,0.45454545454545453,22,0.0030883261272390363,12,0.0014037846032904711
Rule Piece 4,score_differential <= -25.50,0.8333333333333334,6,0.0015441630636195184,1,0.0012868025530162655
Rule Piece 6,season_progression > 0.85,1.0,4,0.0012353304508956147,0,0.0012353304508956147
Rule Piece 5,stadium <= 26.00,1.0,4,0.0012353304508956147,0,0.0012353304508956147
Rule Piece 5,DefenseTeam <= 7.50,0.5,16,0.0024706609017912293,8,0.0012353304508956147
Rule Piece 6,epa <= 0.25,0.233333333,60,0.004323656571957999,46,0.0010088531986823142
Rule Piece 5,Temperature <= 83.70,0.2258064512903226,62,0.004323656571957999,48,0.0009763095471119169
Rule Piece 4,score_differential <= -14.50,0.2222222219047619,63,0.004323656571957999,49,0.0009608125701736325
Rule Piece 6,Temperature > 69.24,1.0,3,0.0009264978381717109,0,0.0009264978381717109
Rule Piece 5,stadium > 24.00,1.0,2,0.0006176652254478073,0,0.0006176652254478073
