,connector,player_id,game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,qtr,down,yrdln,ydstogo,desc,injured_first_name,injured_last_name,injured_team,injured_player_num,Contact/ non-contact,injury area,player role,season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,years_exp,game_type,football_name,smart_id,entry_year,week.1,day,date,time,winner.tie,loser.tie,pts_w,pts_l,yds_w,tov_w,yds_l,tov_l,season.1,loser_is_home,Home_Team,Away_Team,Home_abbr,Away_abbr,num_injuries,num_plays,surface,surface_type,stadium,dome,Avg_Temp,Avg_Feels_Like,Avg_Wind_MPH,Avg_Humidity_Percent,Avg_Percipitation_Prob_Percent,Home_latitude,Home_longitude,Away_latitude,Away_longitude,distance_miles,HOME_day_since_last_game,AWAY_day_since_last_game
0,2019_01_ATL_MIN_Alexander,2019_MIN_20_Alexander,2019_01_ATL_MIN,MIN,ATL,REG,1,ATL,away,MIN,MIN,34,43716,120,120,1920,Half1,2,3,MIN 34,6,"(2:00) (Shotgun) 2-M.Ryan pass short middle to 12-M.Sanu to MIN 28 for 6 yards (20-Mac.Alexander). MIN-20-Mac.Alexander was injured during the play. PENALTY on ATL-77-J.Carpenter, Offensive Holding, 10 yards, enforced at MIN 34 - No Play.",Mac,Alexander,MIN,20,contact,upper body,pass defender,2019,MIN,DB,CB,20,Active,Mackensie Alexander,Mackensie,Alexander,11/12/1993 00:00,70,192,Clemson,3,DIV,Mackensie,3200414c-4551-1379-a677-80cbb84f09ba,2016,1,Sun,09/08/2019 00:00,13:00:00,Minnesota Vikings,Atlanta Falcons,28,12,269,0,345,3,2019,FALSE,Minnesota Vikings,Atlanta Falcons,MIN,ATL,3,171,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,TRUE,56,56,3.5,91.25,26.75,44.9746,-93.2598,33.7551,-84.401,906.9802565,0,0
1,2019_01_ATL_MIN_Gage,2019_ATL_83_Gage,2019_01_ATL_MIN,MIN,ATL,REG,1,ATL,away,MIN,ATL,55,43716,33,33,1833,Half1,2,2,ATL 45,10,(:33) (Shotgun) 2-M.Ryan pass short middle to 83-R.Gage to MIN 42 for 13 yards (22-H.Smith; 29-X.Rhodes). ATL-83-R.Gage was injured during the play.,R,Gage,ATL,83,contact,head/neck,ball carrier,2019,ATL,WR,WR,83,Active,Russell Gage,Russell,Gage,1/22/96,72,184,Louisiana State,1,REG,Russell,32004741-4713-0654-eda3-03cdf234354d,2018,1,Sun,09/08/2019 00:00,13:00:00,Minnesota Vikings,Atlanta Falcons,28,12,269,0,345,3,2019,FALSE,Minnesota Vikings,Atlanta Falcons,MIN,ATL,3,171,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,TRUE,56,56,3.5,91.25,26.75,44.9746,-93.2598,33.7551,-84.401,906.9802565,0,0
2,2019_01_ATL_MIN_McKinley,2019_ATL_98_McKinley,2019_01_ATL_MIN,MIN,ATL,REG,1,MIN,home,ATL,MIN,51,43716,448,448,2248,Half1,2,3,MIN 49,7,"(7:28) (Shotgun) 8-K.Cousins pass incomplete short left to 14-S.Diggs. ATL-98-T.McKinley was injured during the play. PENALTY on ATL-59-D.Campbell, Defensive Holding, 5 yards, enforced at MIN 49 - No Play.",T,McKinley,ATL,98,contact,knee,pass rusher,2019,ATL,DL,DE,98,,Takkarist McKinley,Takkarist,McKinley,11/02/1995 00:00,74,250,UCLA,2,REG,Takkarist,32004d43-4b40-5174-ac7b-f5e10ef2c320,2017,1,Sun,09/08/2019 00:00,13:00:00,Minnesota Vikings,Atlanta Falcons,28,12,269,0,345,3,2019,FALSE,Minnesota Vikings,Atlanta Falcons,MIN,ATL,3,171,UBU Sports Speed S5-M,Turf,U.S. Bank Stadium,TRUE,56,56,3.5,91.25,26.75,44.9746,-93.2598,33.7551,-84.401,906.9802565,0,0
3,2019_01_BAL_MIA_McCain,2019_MIA_28_McCain,2019_01_BAL_MIA,MIA,BAL,REG,1,BAL,away,MIA,MIA,15,43716,727,727,727,Half2,4,2,MIA 15,5,(12:07) (Shotgun) 35-G.Edwards right guard to MIA 5 for 10 yards (28-B.McCain). MIA-28-B.McCain was injured during the play.,B,McCain,MIA,28,contact,upper body,tackler,2019,MIA,DB,CB,28,,Bobby McCain,Bobby,McCain,8/18/93,71,192,Memphis,4,REG,Bobby,32004d43-4305-0868-e824-2f8ef4ae600c,2015,1,Sun,09/08/2019 00:00,13:00:00,Baltimore Ravens,Miami Dolphins,59,10,643,0,200,3,2019,TRUE,Miami Dolphins,Baltimore Ravens,MIA,BAL,3,172,Bermuda Grass,Grass,Hard Rock Stadium,TRUE,89.5,102,7.75,65,0,25.9579,-80.2388,39.3972,-76.8352,949.274391,0,0
4,2019_01_BAL_MIA_McMillan,2019_MIA_52_McMillan,2019_01_BAL_MIA,MIA,BAL,REG,1,MIA,home,BAL,MIA,75,43716,489,489,489,Half2,4,4,MIA 25,15,"(8:09) (Punt formation) 2-M.Haack punts 54 yards to BAL 21, Center-46-T.Pepper, downed by MIA-47-V.Biegel. MIA-52-R.McMillan was injured during the play.",R,McMillan,MIA,52,unknown,unknown,unkown,2019,MIA,LB,LB,52,,Raekwon McMillan,Raekwon,McMillan,11/17/95,74,242,Ohio State,2,REG,Raekwon,32004d43-4d50-6702-63e4-e55d03e6b958,2017,1,Sun,09/08/2019 00:00,13:00:00,Baltimore Ravens,Miami Dolphins,59,10,643,0,200,3,2019,TRUE,Miami Dolphins,Baltimore Ravens,MIA,BAL,3,172,Bermuda Grass,Grass,Hard Rock Stadium,TRUE,89.5,102,7.75,65,0,25.9579,-80.2388,39.3972,-76.8352,949.274391,0,0
5,2019_01_BAL_MIA_Smith,2019_BAL_22_Smith,2019_01_BAL_MIA,MIA,BAL,REG,1,MIA,home,BAL,MIA,75,43716,510,1410,3210,Half1,1,2,MIA 25,10,(8:30) (Shotgun) 14-R.Fitzpatrick pass short left to 27-K.Ballage to MIA 38 for 13 yards (29-E.Thomas). BAL-22-J.Smith was injured during the play.,J,Smith,BAL,22,contact,knee,tackler,2019,BAL,DB,CB,22,Active,Jimmy Smith,James,Smith,7/26/88,74,210,Colorado,8,DIV,Jimmy,3200534d-4900-0006-4388-a92ce29739e7,2011,1,Sun,09/08/2019 00:00,13:00:00,Baltimore Ravens,Miami Dolphins,59,10,643,0,200,3,2019,TRUE,Miami Dolphins,Baltimore Ravens,MIA,BAL,3,172,Bermuda Grass,Grass,Hard Rock Stadium,TRUE,89.5,102,7.75,65,0,25.9579,-80.2388,39.3972,-76.8352,949.274391,0,0
6,2019_01_BUF_NYJ_Enunwa,2019_NYJ_81_Enunwa,2019_01_BUF_NYJ,NYJ,BUF,REG,1,NYJ,home,BUF,NYJ,95,43716,372,1272,3072,Half1,1,1,NYJ 5,10,"(6:12) 26-L.Bell right tackle to NYJ 8 for 3 yards (58-M.Milano). NYJ-81-Q.Enunwa was injured during the play. PENALTY on NYJ-67-B.Winters, Offensive Holding, 2 yards, enforced at NYJ 5 - No Play.",Q,Enunwa,NYJ,81,contact,upper body,run blocker,2019,NYJ,WR,WR,81,,Quincy Enunwa,Quincy,Enunwa,5/31/92,74,225,Nebraska,5,REG,Quincy,3200454e-5544-4955-3b04-da7d5976635a,2014,1,Sun,09/08/2019 00:00,13:00:00,Buffalo Bills,New York Jets,17,16,370,4,223,1,2019,TRUE,New York Jets,Buffalo Bills,NYJ,BUF,2,183,FieldTurf Classic HD,Turf,MetLife Stadium,FALSE,75.5,75.5,4,48.25,0,40.8137,-74.0829,42.7738,-78.7875,277.5750706,0,0
7,2019_01_BUF_NYJ_Poole,2019_NYJ_34_Poole,2019_01_BUF_NYJ,NYJ,BUF,REG,1,BUF,away,NYJ,BUF,64,43716,267,267,267,Half2,4,2,BUF 36,10,(4:27) (Shotgun) 17-J.Allen pass deep right to 11-Z.Jones to NYJ 44 for 20 yards (22-T.Johnson). NYJ-34-B.Poole was injured during the play.,B,Poole,NYJ,34,non contact,lower body,AFP,2019,NYJ,DB,CB,34,Active,Brian Poole,Brian,Poole,10/20/92,70,211,Florida,3,REG,Brian,3200504f-4f23-1564-1583-d58a2b9f3f49,2016,1,Sun,09/08/2019 00:00,13:00:00,Buffalo Bills,New York Jets,17,16,370,4,223,1,2019,TRUE,New York Jets,Buffalo Bills,NYJ,BUF,2,183,FieldTurf Classic HD,Turf,MetLife Stadium,FALSE,75.5,75.5,4,48.25,0,40.8137,-74.0829,42.7738,-78.7875,277.5750706,0,0
8,2019_01_CIN_SEA_Amadi,2019_SEA_28_Amadi,2019_01_CIN_SEA,SEA,CIN,REG,1,CIN,away,SEA,CIN,55,43716,20,20,1820,Half1,2,1,CIN 45,10,(:20) (Shotgun) 14-A.Dalton pass incomplete short left to 11-J.Ross III. SEA-28-U.Amadi was injured during the play.,U,Amadi,SEA,28,contact,upper body,AFP,2019,SEA,DB,FS,28,Active,Ugo Amadi,Ugochukwu,Amadi,5/16/97,69,201,Oregon,0,DIV,Ugochukwu,3200414d-4129-6635-2a3c-32237f770a28,2019,1,Sun,09/08/2019 00:00,16:05:00,Seattle Seahawks,Cincinnati Bengals,21,20,232,1,429,3,2019,FALSE,Seattle Seahawks,Cincinnati Bengals,SEA,CIN,2,176,FieldTurf Revolution 360,Turf,Lumen Field,FALSE,67.75,67.75,4.25,70.75,25,47.5932,-122.3318,39.0964,-84.5164,1966.86441,0,0
9,2019_01_CIN_SEA_Britt,2019_SEA_68_Britt,2019_01_CIN_SEA,SEA,CIN,REG,1,SEA,home,CIN,SEA,79,43716,684,1584,3384,Half1,1,2,SEA 21,9,(11:24) 3-R.Wilson pass incomplete deep left [97-G.Atkins]. SEA-68-J.Britt was injured during the play.,J,Britt,SEA,68,contact,knee,pass blocker,2019,SEA,OL,C,68,,Justin Britt,Justin,Britt,5/29/91,78,315,Missouri,5,DIV,Justin,32004252-4970-4622-cfe1-3576ea00aed2,2014,1,Sun,09/08/2019 00:00,16:05:00,Seattle Seahawks,Cincinnati Bengals,21,20,232,1,429,3,2019,FALSE,Seattle Seahawks,Cincinnati Bengals,SEA,CIN,2,176,FieldTurf Revolution 360,Turf,Lumen Field,FALSE,67.75,67.75,4.25,70.75,25,47.5932,-122.3318,39.0964,-84.5164,1966.86441,0,0
