Rule Piece,Condition,Grade,Times Used,Condition Weight,Times Incorrect,Condition Score
Rule Piece 1,defenders_in_box > 2.50,0.6494133882774327,2898,0.5812229769079679,1016,0.3774539827784994
Rule Piece 2,game_seconds_remaining > 1510.50,0.6811397555488469,1474,0.3100679430756641,470,0.2111996029500916
Rule Piece 2,game_seconds_remaining <= 1510.50,0.6165730333911518,1424,0.27115503383230394,546,0.16718688172926402
Rule Piece 3,offense_formation <= 8.50,0.6119402981869226,1407,0.2659048794159976,546,0.16271791119918327
Rule Piece 4,home_team_on_defense > 51.50,0.6260801253424981,1273,0.24613959220537374,476,0.15410310673969177
Rule Piece 3,epa <= 0.98,0.6647992528450047,1071,0.2198888201967264,359,0.1461819233757533
Rule Piece 4,HOME_day_since_last_game <= 8.07,0.6223929745301866,911,0.17510809135176034,344,0.10898604584072576
Rule Piece 5,home_team_on_defense > 0.50,0.6077481838099273,826,0.15503397153397158,324,0.0942216146286112
Rule Piece 5,epa <= 0.16,0.6002554275900384,783,0.1451513279193947,313,0.08712787240551814
Rule Piece 6,stadium > 3.50,0.625180897,691,0.13341568864329834,259,0.08340893989988997
Rule Piece 5,epa > 0.16,0.6673469382816326,490,0.10098826428597898,163,0.06739420897362441
Rule Piece 6,goal_line_situation <= 0.50,0.664609053,486,0.09975293383508338,163,0.06629670289010642
Rule Piece 3,epa > 0.98,0.7245657565310174,403,0.09017912287893762,111,0.06534070439208102
Rule Piece 1,defenders_in_box <= 2.50,0.7735294115823529,340,0.08122297712723904,77,0.06282836170420013
Rule Piece 6,run_count > 13.50,0.55721393,603,0.10376775781037677,267,0.05782084013680823
Rule Piece 4,yardline_100 > 36.50,0.7239436616394366,355,0.07936998143360098,98,0.05745939498329519
Rule Piece 5,total_play_count <= 89.00,0.7159420286434782,345,0.07628165530636195,98,0.05461324304831932
Rule Piece 2,yardline_100 > 33.50,0.9073170731707317,205,0.057442865966646085,19,0.052118893023395965
Rule Piece 3,current_defence_rank <= 29.50,0.9308510638297872,188,0.05404570722668314,13,0.05030850406739122
Rule Piece 4,HOME_day_since_last_game > 8.07,0.90625,160,0.044780728844966027,15,0.04058253551575046
Rule Piece 6,run_count <= 13.50,0.744394619,223,0.05126621372359482,57,0.03816229363234794
Rule Piece 6,game_seconds_remaining <= 2350.00,0.791208791,182,0.044471896220506485,38,0.03518655524210441
Rule Piece 6,run_count <= 32.50,1.0,99,0.03057442865966646,0,0.03057442865966646
Rule Piece 5,rest_differential <= 2.50,1.0,97,0.029956763434218655,0,0.029956763434218655
Rule Piece 5,score_differential > -3.50,0.9611650485436893,103,0.03057442865966646,4,0.02938707220686388
Rule Piece 6,score_differential > -14.50,1.0,89,0.027486102532427423,0,0.027486102532427423
Rule Piece 4,Down <= 3.50,0.8849557522123894,113,0.03088326127239037,13,0.027330319710079973
Rule Piece 4,Down > 3.50,1.0,75,0.023162445954292774,0,0.023162445954292774
Rule Piece 6,game_seconds_remaining > 2350.00,0.63190184,163,0.03180975908585547,60,0.02010064529630879
Rule Piece 5,DefenseTeam <= 27.50,1.0,63,0.01945645460160593,0,0.01945645460160593
Rule Piece 6,score_differential > -12.50,1.0,53,0.016368128474366892,0,0.016368128474366892
Rule Piece 6,YardsToGo <= 11.50,0.764705882,85,0.020074119817788758,20,0.015350797500635832
Rule Piece 5,home_team_on_defense <= 0.50,0.764705882,85,0.020074119817788758,20,0.015350797500635832
Rule Piece 6,AWAY_day_since_last_game <= 17.00,1.0,46,0.014206300185299567,0,0.014206300185299567
Rule Piece 3,YardsToGo <= 21.50,0.5703703699111111,135,0.02378011116059296,58,0.013563470799194748
Rule Piece 2,yardline_100 <= 33.50,0.5703703699111111,135,0.02378011116059296,58,0.013563470799194748
Rule Piece 4,Precipitation <= 0.00,0.563492063,126,0.021927115484249537,55,0.012355755539859015
Rule Piece 5,score_differential <= -3.50,0.8070175438596491,57,0.014206300185299567,11,0.011464733482873335
Rule Piece 4,home_team_on_defense <= 51.50,0.4776119402089552,134,0.01976528721062384,70,0.009440137173453302
Rule Piece 4,yardline_100 <= 36.50,0.7291666666666666,48,0.010809141445336626,13,0.007881665637224623
Rule Piece 5,current_defence_rank > 5.50,0.45689655162068965,116,0.016368128470660902,63,0.007478541454729398
Rule Piece 6,home_team_on_defense > 38.50,0.442477876,113,0.015441630632489193,63,0.0068325799242403545
Rule Piece 6,Down <= 3.50,1.0,19,0.00586781964175417,0,0.00586781964175417
Rule Piece 5,pass_count <= 17.50,0.9047619047619048,21,0.00586781964175417,2,0.0053089796758728205
Rule Piece 3,offense_formation > 8.50,1.0,17,0.005250154416306362,0,0.005250154416306362
Rule Piece 6,total_play_count > 69.50,1.0,16,0.004941321803582459,0,0.004941321803582459
Rule Piece 6,stadium <= 3.50,0.4130434780000001,92,0.011735639276096357,54,0.004847329263152242
Rule Piece 5,DefenseTeam > 27.50,1.0,12,0.0037059913526868438,0,0.0037059913526868438
Rule Piece 6,pass_run_ratio > 0.55,1.0,11,0.0033971587399629403,0,0.0033971587399629403
Rule Piece 6,score_differential <= -12.50,1.0,10,0.0030883261272390363,0,0.0030883261272390363
Rule Piece 6,stadium <= 32.50,1.0,10,0.0030883261272390363,0,0.0030883261272390363
Rule Piece 5,total_play_count > 89.00,1.0,10,0.0030883261272390363,0,0.0030883261272390363
Rule Piece 5,pass_count > 17.50,0.5925925925925926,27,0.004941321803582458,11,0.002928190698419234
Rule Piece 6,score_differential <= -14.50,1.0,8,0.0024706609017912293,0,0.0024706609017912293
Rule Piece 3,current_defence_rank > 29.50,0.6470588235294118,17,0.0033971587399629403,6,0.002198161537623079
Rule Piece 5,current_defence_rank <= 5.50,0.6111111111111112,18,0.0033971587399629403,7,0.002076041452199575
Rule Piece 5,poor_field_condition > 0.50,1.0,6,0.0018529956763434219,0,0.0018529956763434219
Rule Piece 6,Temperature > 36.76,1.0,6,0.0018529956763434219,0,0.0018529956763434219
Rule Piece 5,OffenseTeam <= 25.00,0.8571428571428571,7,0.0018529956763434217,1,0.0015882820082943614
Rule Piece 4,score_differential <= 6.50,0.75,8,0.0018529956763434219,2,0.0013897467572575664
Rule Piece 6,goal_line_situation > 0.50,1.0,4,0.0012353304508956147,0,0.0012353304508956147
Rule Piece 4,Precipitation > 0.00,0.6666666666666666,9,0.0018529956763434219,3,0.0012353304508956144
Rule Piece 6,week > 13.50,1.0,3,0.0009264978381717109,0,0.0009264978381717109
Rule Piece 6,stadium <= 10.00,1.0,3,0.0009264978381717109,0,0.0009264978381717109
Rule Piece 6,home_team_on_defense <= 38.50,1.0,3,0.0009264978381717109,0,0.0009264978381717109
Rule Piece 4,score_differential > 6.50,0.5555555555555556,9,0.0015441630636195184,4,0.0008578683686775102
Rule Piece 5,season_progression <= 0.15,1.0,2,0.0006176652254478073,0,0.0006176652254478073
Rule Piece 5,season_progression > 0.15,0.42857142857142855,7,0.0009264978381717108,4,0.00039707050207359035
