Rule Piece,Condition,Grade,Times Used,Condition Weight,Times Incorrect,Condition Score
Rule Piece 1,defenders_in_box > 2.50,0.5237929837415769,2879,0.46571958004694247,1371,0.24394064841966215
Rule Piece 2,game_seconds_remaining <= 2387.50,0.527790752038767,2141,0.3489808524135269,1011,0.18418886654246533
Rule Piece 3,epa <= 0.47,0.4942279944588745,1386,0.21155033981470045,701,0.10455410017371279
Rule Piece 4,run_count <= 54.50,0.489267209711325,1351,0.20413835710932676,690,0.09987820437793432
Rule Piece 1,defenders_in_box <= 2.50,0.9470752089721448,359,0.10500308833261271,19,0.09944582182532977
Rule Piece 4,DefenseTeam <= 29.50,0.6374442790653789,673,0.1324891908001853,244,0.08445447671357956
Rule Piece 3,epa > 0.47,0.5894039732384107,755,0.13743051259882644,310,0.08100209016993976
Rule Piece 5,home_team_on_defense <= 76.50,0.6237458190819398,598,0.1151945644876467,225,0.07185212798013453
Rule Piece 2,yardline_100 > 34.50,0.948000000084,250,0.07319332922205066,13,0.06938727610865227
Rule Piece 6,stadium > 12.50,0.68869936,469,0.09975293386040766,146,0.06869978170778508
Rule Piece 2,game_seconds_remaining > 2387.50,0.5121951220555555,738,0.11673872763341568,360,0.059793006848807596
Rule Piece 3,offensive_predictability > 0.02,0.9389671362488263,213,0.06176652255126622,13,0.05799673479601099
Rule Piece 5,play_type > 7.50,0.5805168989264414,503,0.0901791229647931,211,0.052350504811427924
Rule Piece 6,surface_type <= 3.50,0.44138756,836,0.11395923414453366,467,0.0503001882985244
Rule Piece 5,play_type <= 7.50,0.43514150962264153,848,0.11395923414453366,479,0.04958839318109245
Rule Piece 5,epa <= 1.46,1.0,156,0.04817788758492897,0,0.04817788758492897
Rule Piece 4,HOME_day_since_last_game > 6.50,0.98125,160,0.04848672019765287,3,0.04757759419394688
Rule Piece 6,AWAY_day_since_last_game <= 12.50,0.560416667,480,0.0830759728721433,211,0.04655715982478897
Rule Piece 3,AWAY_day_since_last_game <= 7.50,0.47985348007509154,546,0.0809141445710315,284,0.038826933859708535
Rule Piece 2,yardline_100 <= 34.50,0.944954128440367,109,0.03180975911056207,6,0.030058763196219206
Rule Piece 6,offensive_predictability <= 0.10,1.0,84,0.025941939468807906,0,0.025941939468807906
Rule Piece 4,Temperature > 71.72,0.5534351145648855,262,0.04478072884990735,117,0.02478322780134755
Rule Piece 3,DefenseTeam <= 22.50,1.0,80,0.02470660901791229,0,0.02470660901791229
Rule Piece 4,Temperature <= 91.24,0.6236559137419355,186,0.03582458306238419,70,0.022342213084195078
Rule Piece 6,offensive_predictability > 0.10,1.0,72,0.022235948116121063,0,0.022235948116121063
Rule Piece 3,AWAY_day_since_last_game > 7.50,0.6041666664374999,192,0.03582458306238419,76,0.02164401892531398
Rule Piece 5,game_seconds_remaining > 2791.00,0.6934306570875913,137,0.029339098215256338,42,0.02034463015376258
Rule Piece 6,pass_run_ratio <= 0.69,0.544186047,215,0.03613341572112415,98,0.019663300665886202
Rule Piece 5,yardline_100 > 34.50,0.5246636776008968,223,0.03613341572112415,106,0.018957890776527056
Rule Piece 5,OffenseTeam > 6.50,0.5864197528148148,162,0.02933909819518221,67,0.01720502671142833
Rule Piece 4,Temperature <= 71.72,0.41197183135563376,284,0.03613341572112414,167,0.01488594944776596
Rule Piece 6,run_count <= 14.50,0.547297297,148,0.025015441617047558,67,0.013690883580271436
Rule Piece 6,AWAY_day_since_last_game <= 5.00,1.0,44,0.013588634959851761,0,0.013588634959851761
Rule Piece 5,home_team_on_defense > 76.50,0.7466666666666667,75,0.017294626312538607,19,0.012913320980028826
Rule Piece 6,YardsToGo <= 7.50,0.9111111109999999,45,0.012662137120135884,4,0.011536613819161344
Rule Piece 3,offensive_predictability <= 0.02,1.0,37,0.011426806670784434,0,0.011426806670784434
Rule Piece 4,HOME_day_since_last_game <= 6.50,0.8113207551132076,53,0.01327980235361334,10,0.010774179273287726
Rule Piece 5,Temperature > 35.40,0.8039215690392156,51,0.012662137128165534,10,0.010179365147464543
Rule Piece 6,is_close_game > 0.50,0.703125,64,0.013897467572575664,19,0.009771656886967264
Rule Piece 6,season_progression > 0.26,0.787234043,47,0.01142680667726992,10,0.008995571219126596
Rule Piece 6,AWAY_day_since_last_game > 5.00,0.548387097,93,0.015750463255404572,42,0.008637350821036482
Rule Piece 6,epa <= 0.18,1.0,24,0.0074119827053736875,0,0.0074119827053736875
Rule Piece 6,AWAY_day_since_last_game > 12.50,1.0,23,0.007103150092649784,0,0.007103150092649784
Rule Piece 5,game_seconds_remaining > 44.00,0.8888888888888888,27,0.0074119827053736875,3,0.006588429071443277
Rule Piece 6,game_seconds_remaining <= 3455.50,1.0,21,0.006485484867201977,0,0.006485484867201977
Rule Piece 5,Temperature <= 74.96,1.0,20,0.006176652254478073,0,0.006176652254478073
Rule Piece 5,game_seconds_remaining <= 2791.00,0.39999999995999996,125,0.015441630634651019,75,0.006176652253242741
Rule Piece 6,stadium <= 12.50,0.387596899,129,0.015441630627239036,79,0.005985128146621275
Rule Piece 5,OffenseTeam <= 6.50,0.875,24,0.006485484867201977,3,0.0056747992588017295
Rule Piece 3,DefenseTeam > 22.50,0.7931034482758621,29,0.0071031500926497845,6,0.005633532832101554
Rule Piece 4,run_count > 54.50,0.6857142857142857,35,0.007411982705373688,11,0.005082502426541958
Rule Piece 4,Precipitation <= 0.00,0.7692307692307693,26,0.0061766522544780735,6,0.0047512709649831335
Rule Piece 6,run_count > 14.50,1.0,14,0.004323656578134651,0,0.004323656578134651
Rule Piece 6,is_close_game <= 0.50,1.0,11,0.0033971587399629403,0,0.0033971587399629403
Rule Piece 6,season_progression <= 0.26,1.0,4,0.0012353304508956147,0,0.0012353304508956147
Rule Piece 6,home_team_on_offense <= 74.50,0.197530864,81,0.004941321798641137,65,0.0009760635641876178
Rule Piece 4,DefenseTeam > 29.50,0.19512195102439026,82,0.004941321798641137,66,0.0009641603499902079
Rule Piece 5,rest_differential <= 5.00,0.19512195102439026,82,0.004941321798641137,66,0.0009641603499902079
Rule Piece 5,game_seconds_remaining <= 1860.50,1.0,3,0.0009264978381717109,0,0.0009264978381717109
Rule Piece 4,Precipitation > 0.00,1.0,3,0.0009264978381717109,0,0.0009264978381717109
Rule Piece 5,Temperature <= 35.40,1.0,2,0.0006176652254478073,0,0.0006176652254478073
Rule Piece 6,YardsToGo > 7.50,0.1125,80,0.002779493514515133,71,0.00031269302038295244
Rule Piece 6,OffenseTeam > 21.50,1.0,1,0.00030883261272390367,0,0.00030883261272390367
Rule Piece 5,epa > 1.46,0.25,4,0.00030883261272390367,3,7.720815318097592e-05
Rule Piece 6,surface_type > 3.50,0.0,12,0.0,12,0.0
Rule Piece 6,pass_run_ratio > 0.69,0.0,8,0.0,8,0.0
Rule Piece 6,OffenseTeam <= 21.50,0.0,3,0.0,3,0.0
Rule Piece 6,roof <= 1.50,0.0,25,0.0,25,0.0
Rule Piece 6,game_seconds_remaining > 3455.50,0.0,3,0.0,3,0.0
Rule Piece 6,epa > 0.18,0.0,3,0.0,3,0.0
Rule Piece 5,yardline_100 <= 34.50,0.0,61,0.0,61,0.0
Rule Piece 6,roof > 1.50,0.0,36,0.0,36,0.0
Rule Piece 5,rest_differential > 5.00,0.0,0,0.0,0,0.0
Rule Piece 5,game_seconds_remaining > 1860.50,0.0,0,0.0,0,0.0
Rule Piece 5,Temperature > 74.96,0.0,6,0.0,6,0.0
Rule Piece 5,game_seconds_remaining <= 44.00,0.0,8,0.0,8,0.0
Rule Piece 4,Temperature > 91.24,0.0,6,0.0,6,0.0
Rule Piece 6,home_team_on_offense > 74.50,0.0,1,0.0,1,0.0
